,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,DAYS_EMPLOYED_OUTLIERS
0,100001,Cash loans,F,N,Y,0,135000.0,568800.0,20560.5,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.01885,52.71506849315068,-2329.0,-5170.0,-812,9.0,1,1,0,1,0,1,Laborers,2.0,2,2,TUESDAY,18,0,0,0,0,0,0,Kindergarten,0.7526144906031748,0.7896543511176771,0.1595195404777181,0.066,0.059,0.9732,0.7552,0.0227,0.0,0.1379,0.125,0.2083,0.0483,0.0756,0.0505,0.0,0.0038,0.0672,0.0612,0.9732,0.7583,0.0203,0.0,0.1379,0.125,0.2083,0.0462,0.0817,0.0526,0.0,0.0012,0.0666,0.059,0.9732,0.7585,0.0223,0.0,0.1379,0.125,0.2083,0.0488,0.077,0.0514,0.0,0.0031,not specified,block of flats,0.0392,"Stone, brick",No,0.0,0.0,0.0,0.0,-1740.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,100005,Cash loans,M,N,Y,0,99000.0,222768.0,17370.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,49.49041095890411,-4469.0,-9118.0,-1623,9.0,1,1,0,1,0,0,Low-skill Laborers,2.0,2,2,FRIDAY,9,0,0,0,0,0,0,Self-employed,0.5649902017969249,0.2916555320093651,0.4329616670974407,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False
2,100013,Cash loans,M,Y,Y,0,202500.0,663264.0,69777.0,630000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.019101,54.8986301369863,-4458.0,-2175.0,-3503,5.0,1,1,0,1,0,0,Drivers,2.0,2,2,MONDAY,14,0,0,0,0,0,0,Transport: type 3,0.5067712615026179,0.6997868302051784,0.6109913280868294,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,0.0,0.0,0.0,0.0,-856.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,False
3,100028,Cash loans,F,N,Y,2,315000.0,1575000.0,49018.5,1575000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392,38.29041095890411,-1866.0,-2000.0,-4208,9.0,1,1,0,1,1,0,Sales staff,4.0,2,2,WEDNESDAY,11,0,0,0,0,0,0,Business Entity Type 3,0.5257339776824489,0.5096770801723647,0.6127042441012546,0.3052,0.1974,0.997,0.9592,0.1165,0.32,0.2759,0.375,0.0417,0.2042,0.2404,0.3673,0.0386,0.08,0.3109,0.2049,0.997,0.9608,0.1176,0.3222,0.2759,0.375,0.0417,0.2089,0.2626,0.3827,0.0389,0.0847,0.3081,0.1974,0.997,0.9597,0.1173,0.32,0.2759,0.375,0.0417,0.2078,0.2446,0.3739,0.0388,0.0817,reg oper account,block of flats,0.37,Panel,No,0.0,0.0,0.0,0.0,-1805.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,False
4,100038,Cash loans,M,Y,N,1,180000.0,625500.0,32067.0,625500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,35.726027397260275,-2191.0,-4000.0,-4262,16.0,1,1,1,1,0,0,Laborers,3.0,2,2,FRIDAY,5,0,0,0,0,1,1,Business Entity Type 3,0.202144992067999,0.4256872940912229,0.5190973382084597,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,0.0,0.0,0.0,0.0,-821.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False
5,100042,Cash loans,F,Y,Y,0,270000.0,959688.0,34600.5,810000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.025164,50.96986301369863,-12009.0,-6116.0,-2027,10.0,1,1,0,1,1,0,Drivers,2.0,2,2,MONDAY,15,0,0,0,0,0,0,Government,0.5067712615026179,0.6289043246811542,0.3927738606031339,0.2412,0.0084,0.9821,0.7552,0.0452,0.16,0.1379,0.3333,0.375,0.1683,0.1942,0.2218,0.0116,0.0731,0.2458,0.0088,0.9821,0.7648,0.0457,0.1611,0.1379,0.3333,0.375,0.1721,0.2121,0.2311,0.0117,0.0774,0.2436,0.0084,0.9821,0.7585,0.0455,0.16,0.1379,0.3333,0.375,0.1712,0.1975,0.2258,0.0116,0.0746,not specified,block of flats,0.2151,Block,No,0.0,0.0,0.0,0.0,-1705.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,False
6,100057,Cash loans,M,Y,Y,2,180000.0,499221.0,22117.5,373500.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.0228,45.71232876712329,-2580.0,-10125.0,-241,3.0,1,1,0,1,0,0,High skill tech staff,4.0,2,2,THURSDAY,9,0,0,0,0,1,1,Industry: type 9,0.7608510178380521,0.57108420610083,0.6512602186973006,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,1.0,0.0,1.0,0.0,-1182.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,False
7,100065,Cash loans,M,N,Y,0,166500.0,180000.0,14220.0,180000.0,Unaccompanied,Working,Higher education,Single / not married,With parents,0.005144,26.07123287671233,-1387.0,-5063.0,-2055,9.0,1,1,1,1,1,0,Core staff,1.0,2,2,FRIDAY,7,0,0,0,0,0,0,Self-employed,0.5652899888198399,0.6130330592407085,0.3123653692278984,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,0.0,0.0,0.0,0.0,-1182.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False
8,100066,Cash loans,F,N,Y,0,315000.0,364896.0,28957.5,315000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.04622,34.915068493150685,-1013.0,-1686.0,-3171,9.0,1,1,0,1,0,0,Core staff,2.0,1,1,THURSDAY,18,0,0,0,0,0,0,School,0.7185074765991686,0.8087877917779122,0.5226973172821112,0.1031,0.1115,0.9781,0.7552,0.0227,0.0,0.2069,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.105,0.1157,0.9782,0.7583,0.0203,0.0,0.2069,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.1041,0.1115,0.9781,0.7585,0.0223,0.0,0.2069,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0702,"Stone, brick",No,0.0,0.0,0.0,0.0,-829.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,False
9,100067,Cash loans,F,Y,Y,1,162000.0,45000.0,5337.0,45000.0,Family,Working,Higher education,Civil marriage,House / apartment,0.018634,28.47945205479452,-2625.0,-8124.0,-3041,5.0,1,1,1,1,1,0,Sales staff,3.0,2,2,TUESDAY,14,0,0,0,0,0,0,Trade: type 2,0.2105622076337031,0.4448475614048825,0.1940678276718812,0.0928,0.0781,0.9816,0.7552,0.0227,0.0,0.1379,0.1667,0.2083,0.0483,0.0756,0.077,0.0,0.0038,0.0851,0.077,0.9816,0.7583,0.0203,0.0,0.1379,0.1667,0.2083,0.0462,0.0817,0.0751,0.0,0.0012,0.0926,0.0778,0.9816,0.7585,0.0223,0.0,0.1379,0.1667,0.2083,0.0488,0.077,0.0776,0.0,0.0031,not specified,block of flats,0.0707,Others,No,4.0,0.0,4.0,0.0,-1423.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,False
